epoch,train_nll,train_kl,train_loss,train_acc,lr
0,0.6159969568252563,656.6717529296875,0.6657750010490417,0.65625,0.001
0,0.5618616938591003,634.1864624023438,0.6099352836608887,0.703125,0.001
0,0.5464227795600891,539.1795043945312,0.5872944593429565,0.734375,0.001
0,0.6277930736541748,589.6609497070312,0.6724914312362671,0.65625,0.001
0,0.5674377679824829,577.8857421875,0.6112435460090637,0.75,0.001
0,0.5408172607421875,467.88934326171875,0.5762849450111389,0.765625,0.001
0,0.590497612953186,763.9933471679688,0.648410975933075,0.625,0.001
0,0.5825907588005066,565.8825073242188,0.6254866123199463,0.6875,0.001
0,0.6203168630599976,487.15789794921875,0.6572451591491699,0.65625,0.001
0,0.6411939263343811,628.208740234375,0.6888143420219421,0.609375,0.001
0,0.653947651386261,615.836669921875,0.700630247592926,0.625,0.001
0,0.590187132358551,646.70703125,0.6392098069190979,0.6875,0.001
0,0.5814516544342041,532.3880004882812,0.6218085289001465,0.734375,0.001
0,0.7257932424545288,602.1243286132812,0.7714363932609558,0.578125,0.001
0,0.6012410521507263,601.75830078125,0.646856427192688,0.671875,0.001
0,0.5942395925521851,527.1983032226562,0.6342030763626099,0.65625,0.001
0,0.5686566829681396,719.9293823242188,0.6232298612594604,0.671875,0.001
0,0.6804628372192383,659.96337890625,0.7304903864860535,0.53125,0.001
0,0.533092200756073,581.860107421875,0.5771992206573486,0.71875,0.001
0,0.6264365315437317,580.1581420898438,0.6704145669937134,0.65625,0.001
0,0.5002246499061584,574.1815185546875,0.5437496304512024,0.828125,0.001
0,0.6740871667861938,576.914794921875,0.717819333076477,0.6875,0.001
0,0.5346506237983704,640.840087890625,0.5832285284996033,0.765625,0.001
0,0.6563032269477844,651.049560546875,0.7056550979614258,0.59375,0.001
0,0.5539436936378479,635.6262817382812,0.60212641954422,0.671875,0.001
0,0.6373900175094604,752.3451538085938,0.6944204568862915,0.578125,0.001
0,0.7091107368469238,473.69403076171875,0.7450184226036072,0.59375,0.001
0,0.6614124178886414,707.5897216796875,0.715050220489502,0.59375,0.001
0,0.5734190940856934,632.1937255859375,0.6213415861129761,0.6875,0.001
0,0.5895001888275146,654.1779174804688,0.6390891671180725,0.6875,0.001
0,0.6083706617355347,599.5550537109375,0.6538190245628357,0.625,0.001
0,0.5202210545539856,681.382568359375,0.5718722343444824,0.734375,0.001
0,0.5421629548072815,602.7045288085938,0.5878500938415527,0.75,0.001
0,0.5521128177642822,719.8980712890625,0.606683611869812,0.71875,0.001
