epoch,step,train_acc_epoch,train_acc_step,train_kl_epoch,train_kl_step,train_loss_epoch,train_loss_step,train_nll_epoch,train_nll_step,val_acc,val_loss
0,49,,0.640625,,626.515380859375,,0.6787825226783752,,0.6276968121528625,,
0,99,,0.671875,,719.7172241210938,,0.6566128730773926,,0.5979275107383728,,
0,149,,0.5625,,635.1659545898438,,0.7501128911972046,,0.6983218193054199,,
0,191,,,,,,,,,0.6974886059761047,0.5730643272399902
0,191,0.6640573740005493,,580.4451293945312,,0.6603061556816101,,0.6129768490791321,,,
1,199,,0.6875,,590.117431640625,,0.6628111600875854,,0.614693284034729,,
1,249,,0.640625,,681.7964477539062,,0.6751277446746826,,0.619534432888031,,
1,299,,0.640625,,538.7492065429688,,0.6819391250610352,,0.638009786605835,,
1,349,,0.5625,,528.0890502929688,,0.7061457633972168,,0.6630856394767761,,
1,383,,,,,,,,,0.6978691220283508,0.5725039839744568
1,383,0.6676451563835144,,580.728759765625,,0.6631078124046326,,0.6157554984092712,,,
2,399,,0.65625,,642.2557373046875,,0.6945440173149109,,0.6421748399734497,,
2,449,,0.734375,,495.0240478515625,,0.6020410060882568,,0.5616769790649414,,
2,499,,0.5625,,703.2459716796875,,0.7000924348831177,,0.6427501440048218,,
2,549,,0.65625,,434.901123046875,,0.6289815306663513,,0.593519926071167,,
2,575,,,,,,,,,0.6990106701850891,0.5731465220451355
2,575,0.6681343913078308,,590.958251953125,,0.660216212272644,,0.6120297312736511,,,
3,599,,0.703125,,457.3018798828125,,0.6109976172447205,,0.5737094879150391,,
3,649,,0.765625,,436.3855895996094,,0.5767082571983337,,0.5411255955696106,,
3,699,,0.671875,,593.1235961914062,,0.6624442338943481,,0.6140812635421753,,
3,749,,0.640625,,502.88031005859375,,0.6546828150749207,,0.6136782169342041,,
3,767,,,,,,,,,0.6974886059761047,0.5743198394775391
3,767,0.6658512949943542,,584.6450805664062,,0.661215603351593,,0.6135441660881042,,,
4,799,,0.65625,,656.3173217773438,,0.6718153953552246,,0.6182996034622192,,
4,849,,0.6875,,554.3915405273438,,0.6639862656593323,,0.6187814474105835,,
4,899,,0.671875,,522.5951538085938,,0.6815217733383179,,0.638909637928009,,
4,949,,0.71875,,618.9840087890625,,0.6169773936271667,,0.5665057897567749,,
4,959,,,,,,,,,0.7005327343940735,0.5730113983154297
4,959,0.6651174426078796,,589.7959594726562,,0.6650030016899109,,0.6169111728668213,,,
