epoch,step,train_acc_epoch,train_acc_step,train_kl_epoch,train_kl_step,train_loss_epoch,train_loss_step,train_nll_epoch,train_nll_step,val_acc,val_loss
0,49,,0.578125,,1276.552001953125,,1.230911135673523,,0.8366702795028687,,
0,50,,,,,,,,,0.7132564783096313,0.5407452583312988
0,50,0.6395923495292664,,1211.320068359375,,1.1045517921447754,,0.7304567694664001,,,
1,99,,0.78125,,1309.36279296875,,0.922977089881897,,0.5186031460762024,,
1,101,,,,,,,,,0.7305475473403931,0.5340372920036316
1,101,0.6578134894371033,,1222.8616943359375,,1.0408638715744019,,0.6632043719291687,,,
2,149,,0.734375,,1171.116455078125,,0.9179030060768127,,0.5562240481376648,,
2,152,,,,,,,,,0.729106605052948,0.5149649977684021
2,152,0.6355774998664856,,1221.0228271484375,,1.1149115562438965,,0.7378199100494385,,,
3,199,,0.84375,,1094.8616943359375,,0.7513883113861084,,0.41325926780700684,,
3,203,,,,,,,,,0.7319884896278381,0.5262052416801453
3,203,0.6436071395874023,,1207.4713134765625,,1.0709457397460938,,0.6980389952659607,,,
4,249,,0.609375,,1194.166015625,,1.0333211421966553,,0.6645237803459167,,
4,254,,,,,,,,,0.7161383032798767,0.5304645895957947
4,254,0.6358863711357117,,1203.3946533203125,,1.0655754804611206,,0.6939278244972229,,,
5,299,,0.734375,,1211.8043212890625,,0.8081955909729004,,0.43395090103149414,,
5,305,,,,,,,,,0.7319884896278381,0.5155811309814453
5,305,0.6624459624290466,,1201.1614990234375,,1.0042526721954346,,0.6332949995994568,,,
6,349,,0.546875,,1128.4554443359375,,1.163007140159607,,0.8145033121109009,,
6,356,,,,,,,,,0.7334293723106384,0.5323587656021118
6,356,0.6528721451759338,,1185.1790771484375,,1.031341314315796,,0.6653191447257996,,,
7,399,,0.53125,,1192.9598388671875,,1.0673567056655884,,0.6989318132400513,,
7,407,,,,,,,,,0.7319884896278381,0.5243386626243591
7,407,0.6399011611938477,,1209.0318603515625,,1.068522572517395,,0.695134162902832,,,
8,449,,0.59375,,1166.033203125,,0.962892472743988,,0.6027833819389343,,
8,458,,,,,,,,,0.7363112568855286,0.5236986875534058
8,458,0.6331068277359009,,1193.023193359375,,1.0747348070144653,,0.706290066242218,,,
9,499,,0.625,,1334.5858154296875,,1.2546730041503906,,0.8425093293190002,,
9,509,,,,,,,,,0.7377521395683289,0.5168918967247009
9,509,0.641754150390625,,1216.3876953125,,1.0559967756271362,,0.680336594581604,,,
10,549,,0.6875,,1194.15966796875,,0.9153865575790405,,0.5465911030769348,,
10,560,,,,,,,,,0.7391930818557739,0.5163387060165405
10,560,0.6636812686920166,,1195.8656005859375,,1.0210016965866089,,0.6516796946525574,,,
11,599,,0.65625,,1126.587646484375,,0.930863618850708,,0.5829365849494934,,
11,611,,,,,,,,,0.7305475473403931,0.5128694176673889
11,611,0.6639901399612427,,1182.060302734375,,0.9962708353996277,,0.6312121748924255,,,
12,649,,0.734375,,1120.024169921875,,0.9614601731300354,,0.6155601739883423,,
12,662,,,,,,,,,0.7363112568855286,0.5145387053489685
12,662,0.6537986397743225,,1186.7408447265625,,1.0336453914642334,,0.6671410202980042,,,
13,699,,0.671875,,1326.47412109375,,0.9992954134941101,,0.5896369218826294,,
13,713,,,,,,,,,0.7348703145980835,0.5100964307785034
13,713,0.6553428173065186,,1195.6123046875,,1.0501984357833862,,0.6809545755386353,,,
14,749,,0.765625,,1103.566650390625,,0.895207941532135,,0.554390549659729,,
14,764,,,,,,,,,0.7262247800827026,0.5331659913063049
14,764,0.6760345697402954,,1191.4439697265625,,1.0250844955444336,,0.657127857208252,,,
15,799,,0.671875,,1189.42333984375,,0.9833383560180664,,0.6160056591033936,,
15,815,,,,,,,,,0.729106605052948,0.5406456589698792
15,815,0.6602841019630432,,1196.634765625,,1.0246332883834839,,0.6550734043121338,,,
