epoch,train_loss,train_accuracy
0,0.594996988773346,0.6804916858673096
1,0.5752513408660889,0.693213164806366
2,0.5731747150421143,0.6989148259162903
3,0.5722811222076416,0.697566032409668
4,0.5725625157356262,0.6978419423103333
5,0.5711941123008728,0.6997118592262268
6,0.5709031224250793,0.6980871558189392
7,0.5701119303703308,0.700232982635498
8,0.5700693726539612,0.6992213726043701
9,0.570155680179596,0.7000490427017212
10,0.5693680047988892,0.7005088329315186
11,0.5689366459846497,0.700600802898407
12,0.5688715577125549,0.7017043828964233
13,0.5683124661445618,0.7015204429626465
14,0.5680665373802185,0.7025933265686035
15,0.5677927136421204,0.7034516334533691
16,0.5677790641784668,0.702440083026886
17,0.5674666166305542,0.7029612064361572
18,0.5674219727516174,0.7016430497169495
19,0.5673198103904724,0.7012138962745667
20,0.5676336288452148,0.7023787498474121
21,0.5668815970420837,0.7028079032897949
22,0.5672982335090637,0.7025013566017151
23,0.5668332576751709,0.7030224800109863
24,0.5663668513298035,0.7025320529937744
25,0.5661594271659851,0.7023481130599976
26,0.5661956071853638,0.7034516334533691
27,0.5660735368728638,0.703512966632843
28,0.5654668807983398,0.703758180141449
29,0.5656244158744812,0.7032983899116516
30,0.5655269026756287,0.70339035987854
31,0.5651279091835022,0.7040954232215881
32,0.5648454427719116,0.706425130367279
33,0.564942479133606,0.7041873335838318
34,0.5646536946296692,0.7050763368606567
35,0.5652772188186646,0.7051069736480713
36,0.5644369125366211,0.7052602767944336
37,0.5646296739578247,0.7046778202056885
38,0.5641529560089111,0.7045552134513855
39,0.5643447041511536,0.7032064199447632
40,0.563883364200592,0.7056280970573425
41,0.5637410283088684,0.7049843668937683
42,0.563772976398468,0.7046778202056885
43,0.5639342665672302,0.7050150036811829
44,0.5633408427238464,0.7059959769248962
45,0.5634397864341736,0.7059346437454224
46,0.5633166432380676,0.7064864039421082
47,0.5630866289138794,0.7071608304977417
48,0.5630167126655579,0.706425130367279
49,0.5626611709594727,0.7056587338447571
0,0.6322131156921387,0.6574887037277222
1,0.5994207262992859,0.681431233882904
2,0.5776264667510986,0.6957967281341553
3,0.569028913974762,0.7036445736885071
4,0.5675995349884033,0.7057728171348572
5,0.5668339729309082,0.7057728171348572
6,0.5674464106559753,0.7037776112556458
7,0.5660642981529236,0.7047086954116821
8,0.5641193389892578,0.706437885761261
9,0.5627043843269348,0.7072359919548035
10,0.5663062930107117,0.7077680230140686
11,0.5640429258346558,0.7063048481941223
12,0.564287006855011,0.7080340385437012
13,0.5629732012748718,0.7089651226997375
14,0.5622828006744385,0.7132216095924377
