epoch,step,train_acc_epoch,train_acc_step,train_kl_epoch,train_kl_step,train_loss_epoch,train_loss_step,train_nll_epoch,train_nll_step,val_acc,val_loss
0,49,,0.671875,,674.9807739257812,,0.7432820796966553,,0.6819647550582886,,
0,99,,0.578125,,639.3822631835938,,0.7357825040817261,,0.677699089050293,,
0,149,,0.609375,,515.0473022460938,,0.6635635495185852,,0.6167750954627991,,
0,171,,,,,,,,,0.6884273290634155,0.5815561413764954
0,171,0.675236165523529,,567.331298828125,,0.6630470752716064,,0.6115087866783142,,,
1,199,,0.796875,,451.35009765625,,0.6030564308166504,,0.5620543956756592,,
1,249,,0.59375,,541.0964965820312,,0.7083834409713745,,0.6592286229133606,,
1,299,,0.578125,,545.3916015625,,0.7375063300132751,,0.6879612803459167,,
1,343,,,,,,,,,0.6850360035896301,0.5808897614479065
1,343,0.6746911406517029,,565.1849365234375,,0.6610795855522156,,0.6097365617752075,,,
2,349,,0.734375,,584.2608642578125,,0.6696594953536987,,0.6165834665298462,,
2,399,,0.6875,,770.203369140625,,0.6736636757850647,,0.6036960482597351,,
2,449,,0.6875,,561.4020385742188,,0.6305155754089355,,0.5795161128044128,,
2,499,,0.8125,,627.1546630859375,,0.5738542675971985,,0.5168816447257996,,
2,515,,,,,,,,,0.684188187122345,0.5859941840171814
2,515,0.6741460561752319,,572.8828125,,0.6624960899353027,,0.6104534268379211,,,
3,549,,0.796875,,621.0889282226562,,0.56072998046875,,0.5043084025382996,,
3,599,,0.671875,,633.866455078125,,0.668394148349762,,0.6108118295669556,,
3,649,,0.71875,,536.2463989257812,,0.6138823628425598,,0.5651681423187256,,
3,687,,,,,,,,,0.687155544757843,0.5831876397132874
3,687,0.6775072813034058,,583.3993530273438,,0.6596628427505493,,0.606665313243866,,,
4,699,,0.765625,,617.488037109375,,0.583453357219696,,0.527358889579773,,
4,749,,0.640625,,603.2774047851562,,0.6652897000312805,,0.6104861497879028,,
4,799,,0.515625,,579.10107421875,,0.7670432925224304,,0.7144359946250916,,
4,849,,0.703125,,416.2408142089844,,0.5949488282203674,,0.5571362376213074,,
4,859,,,,,,,,,0.6854599118232727,0.5815235376358032
4,859,0.6760537624359131,,591.4219970703125,,0.6608617901802063,,0.6071353554725647,,,
