epoch,step,train_acc_epoch,train_acc_step,train_kl_epoch,train_kl_step,train_loss_epoch,train_loss_step,train_nll_epoch,train_nll_step,val_acc,val_loss
0,49,,0.578125,,1257.75,,0.8632246255874634,,0.7060255408287048,,
0,99,,0.734375,,1362.095947265625,,0.702533483505249,,0.5322927832603455,,
0,125,,,,,,,,,0.6868804693222046,0.5949167013168335
0,125,0.6897887587547302,,1222.3817138671875,,0.7440716624259949,,0.5912929773330688,,,
1,149,,0.65625,,1183.1417236328125,,0.7311805486679077,,0.5833063125610352,,
1,199,,0.625,,1325.8262939453125,,0.8228396773338318,,0.657132089138031,,
1,249,,0.703125,,1172.2352294921875,,0.7231411337852478,,0.5766300559043884,,
1,251,,,,,,,,,0.6909620761871338,0.5958049297332764
1,251,0.688788890838623,,1208.4888916015625,,0.7415012121200562,,0.5904589295387268,,,
2,299,,0.71875,,1196.5079345703125,,0.7138620615005493,,0.5643172860145569,,
2,349,,0.609375,,1148.4127197265625,,0.8164455890655518,,0.6729119420051575,,
2,377,,,,,,,,,0.6903790235519409,0.5948956608772278
2,377,0.6849144101142883,,1197.2152099609375,,0.7425093054771423,,0.5928761959075928,,,
3,399,,0.796875,,1223.702880859375,,0.5973039269447327,,0.4443601965904236,,
3,449,,0.625,,1195.5052490234375,,0.764275848865509,,0.6148563623428345,,
3,499,,0.6875,,1242.2203369140625,,0.7596919536590576,,0.6044338345527649,,
3,503,,,,,,,,,0.6822157502174377,0.5966986417770386
3,503,0.6842894554138184,,1205.912841796875,,0.7464847564697266,,0.5957643389701843,,,
4,549,,0.515625,,1313.2720947265625,,0.9096810817718506,,0.745542585849762,,
4,599,,0.71875,,1076.4891357421875,,0.748068630695343,,0.613524317741394,,
4,629,,,,,,,,,0.6833819150924683,0.5947721004486084
4,629,0.6857892870903015,,1201.77783203125,,0.746610701084137,,0.5964072942733765,,,
5,649,,0.703125,,1204.350830078125,,0.7041229605674744,,0.5535979270935059,,
5,699,,0.703125,,1093.25341796875,,0.7194232940673828,,0.5827836990356445,,
5,749,,0.71875,,1242.6502685546875,,0.6924254894256592,,0.537113606929779,,
5,755,,,,,,,,,0.6868804693222046,0.5968278646469116
5,755,0.6802899837493896,,1190.4576416015625,,0.7483904361724854,,0.5996016263961792,,,
6,799,,0.6875,,1149.570556640625,,0.7297824025154114,,0.5861040353775024,,
6,849,,0.765625,,1159.6470947265625,,0.6280856728553772,,0.48314791917800903,,
6,881,,,,,,,,,0.6822157502174377,0.595777690410614
6,881,0.6805399060249329,,1201.5257568359375,,0.7482022643089294,,0.5980299711227417,,,
7,899,,0.671875,,1078.8443603515625,,0.7887758016586304,,0.6539371013641357,,
7,949,,0.65625,,1281.601318359375,,0.7463487982749939,,0.586168646812439,,
7,999,,0.75,,1257.371337890625,,0.6604202389717102,,0.5032684803009033,,
7,1007,,,,,,,,,0.6845480799674988,0.5953912734985352
7,1007,0.688663899898529,,1187.5413818359375,,0.7420570254325867,,0.5936330556869507,,,
8,1049,,0.734375,,1266.4375,,0.686366081237793,,0.5280811786651611,,
8,1099,,0.71875,,1175.614501953125,,0.7431778907775879,,0.5962444543838501,,
