epoch,step,train_acc_epoch,train_acc_step,train_kl_epoch,train_kl_step,train_loss_epoch,train_loss_step,train_nll_epoch,train_nll_step,val_acc,val_loss
0,49,,0.640625,,474.7120056152344,,0.7311574816703796,,0.6819798350334167,,
0,99,,0.640625,,657.2589721679688,,0.6943539977073669,,0.6262654066085815,,
0,149,,0.734375,,594.0077514648438,,0.6342718601226807,,0.5727357864379883,,
0,150,,,,,,,,,0.7022716403007507,0.5713673233985901
0,150,0.675334095954895,,582.2817993164062,,0.6646568775177002,,0.6043355464935303,,,
1,199,,0.671875,,582.1435546875,,0.664491593837738,,0.6041845679283142,,
1,249,,0.65625,,510.4653625488281,,0.661885678768158,,0.6090041399002075,,
1,299,,0.71875,,590.004638671875,,0.6255252361297607,,0.5644038915634155,,
1,301,,,,,,,,,0.6984050273895264,0.5701685547828674
1,301,0.6791670918464661,,582.331787109375,,0.6616359949111938,,0.6013093590736389,,,
2,349,,0.734375,,702.5274047851562,,0.6499282121658325,,0.5771500468254089,,
2,399,,0.640625,,595.233642578125,,0.6355268359184265,,0.5738637447357178,,
2,449,,0.6875,,501.91424560546875,,0.6257545351982117,,0.5737588405609131,,
2,452,,,,,,,,,0.7037215828895569,0.5694396495819092
2,452,0.6710867285728455,,578.058837890625,,0.6649910807609558,,0.6051071882247925,,,
3,499,,0.59375,,487.9431457519531,,0.7686095237731934,,0.7180612087249756,,
3,549,,0.734375,,605.67333984375,,0.5836312174797058,,0.5208866596221924,,
3,599,,0.640625,,644.3176879882812,,0.6693798303604126,,0.6026319265365601,,
3,603,,,,,,,,,0.7037215828895569,0.5687944293022156
3,603,0.6713975071907043,,589.79638671875,,0.6685554385185242,,0.607455313205719,,,
4,649,,0.609375,,479.72857666015625,,0.7235137224197388,,0.6738163828849792,,
4,699,,0.703125,,501.2133483886719,,0.5961694121360779,,0.5442463755607605,,
4,749,,0.765625,,490.3031311035156,,0.5477155447006226,,0.49692273139953613,,
4,754,,,,,,,,,0.7037215828895569,0.5690886974334717
