epoch,step,train_acc_epoch,train_acc_step,train_kl_epoch,train_kl_step,train_loss_epoch,train_loss_step,train_nll_epoch,train_nll_step,val_acc,val_loss
0,46,,,,,,,,,0.6721698045730591,0.6343765258789062
0,46,0.6534703373908997,,419644.90625,,0.5086048245429993,,0.5086048245429993,,,
1,49,,0.6953125,,417345.4375,,3.2860970497131348,,0.47379636764526367,,
1,93,,,,,,,,,0.6847484111785889,0.6007351875305176
1,93,0.6718328595161438,,419771.0,,3.3419766426086426,,0.5133305191993713,,,
2,99,,0.65625,,420276.15625,,6.214244365692139,,0.550145149230957,,
2,140,,,,,,,,,0.6674528121948242,0.6192804574966431
2,140,0.6701482534408569,,419601.8125,,6.158249378204346,,0.5032374858856201,,,
3,149,,0.59375,,420362.9375,,8.978042602539062,,0.48013997077941895,,
3,187,,,,,,,,,0.6674528121948242,0.6199755668640137
3,187,0.6607142686843872,,419662.5625,,8.980652809143066,,0.4969055652618408,,,
4,199,,0.6640625,,420869.34375,,11.866114616394043,,0.5219278335571289,,
4,234,,,,,,,,,0.6650943160057068,0.622421383857727
4,234,0.6622304320335388,,419353.65625,,11.815457344055176,,0.5121252536773682,,,
5,249,,0.59375,,420284.78125,,14.718367576599121,,0.5578285455703735,,
5,281,,,,,,,,,0.6650943160057068,0.6217886805534363
5,281,0.6612196564674377,,419550.375,,14.640210151672363,,0.5044142603874207,,,
6,299,,0.6328125,,417345.21875,,17.35796356201172,,0.48416754603385925,,
6,328,,,,,,,,,0.6650943160057068,0.6217107176780701
6,328,0.6637466549873352,,419720.3125,,17.465576171875,,0.49574995040893555,,,
7,349,,0.6484375,,420820.8125,,20.4161376953125,,0.5660985112190247,,
7,375,,,,,,,,,0.6643081903457642,0.622133195400238
7,375,0.6623989343643188,,419169.09375,,20.270238876342773,,0.49811384081840515,,,
8,399,,0.6875,,417414.25,,22.976938247680664,,0.4748232364654541,,
8,422,,,,,,,,,0.6611635088920593,0.6276777386665344
8,422,0.6667789816856384,,418749.375,,23.076391220092773,,0.5023030638694763,,,
9,449,,0.65625,,417683.0,,25.822904586791992,,0.491726279258728,,
9,469,,,,,,,,,0.6595911979675293,0.6281079053878784
