epoch,step,train_acc_epoch,train_acc_step,train_kl_epoch,train_kl_step,train_loss_epoch,train_loss_step,train_nll_epoch,train_nll_step,val_acc,val_loss
0,49,,0.671875,,523.0803833007812,,0.6885953545570374,,0.6452509164810181,,
0,99,,0.765625,,532.705078125,,0.5535329580307007,,0.5093910098075867,,
0,149,,0.703125,,639.468994140625,,0.6646139025688171,,0.611625075340271,,
0,188,,,,,,,,,0.6844547390937805,0.5936659574508667
0,188,0.6778256297111511,,569.4422607421875,,0.6486886143684387,,0.6015025973320007,,,
1,199,,0.734375,,803.5427856445312,,0.6435837745666504,,0.5769991874694824,,
1,249,,0.609375,,758.2647094726562,,0.6782113313674927,,0.6153786778450012,,
1,299,,0.734375,,420.51226806640625,,0.6504963040351868,,0.6156510710716248,,
1,349,,0.703125,,589.704833984375,,0.6051106452941895,,0.5562455058097839,,
1,377,,,,,,,,,0.685228168964386,0.5944151878356934
1,377,0.6721080541610718,,580.4661254882812,,0.6529197096824646,,0.6048202514648438,,,
2,399,,0.703125,,493.1846923828125,,0.6502349376678467,,0.6093677878379822,,
2,449,,0.765625,,451.4393615722656,,0.5437256693840027,,0.506317675113678,,
2,499,,0.609375,,597.580322265625,,0.7103458642959595,,0.6608281135559082,,
2,549,,0.65625,,491.77166748046875,,0.6710271835327148,,0.630277156829834,,
2,566,,,,,,,,,0.6867749691009521,0.5935993790626526
2,566,0.6723566651344299,,580.1461791992188,,0.6575196981430054,,0.6094465255737305,,,
3,599,,0.6875,,637.4356079101562,,0.6109614372253418,,0.5581411123275757,,
3,649,,0.65625,,547.2003173828125,,0.6392324566841125,,0.5938893556594849,,
3,699,,0.5625,,634.9649047851562,,0.7076832056045532,,0.6550676226615906,,
3,749,,0.6875,,611.92333984375,,0.6935302019119263,,0.6428239345550537,,
3,755,,,,,,,,,0.6863882541656494,0.594508945941925
3,755,0.6722737550735474,,584.1378173828125,,0.6582828164100647,,0.6098789572715759,,,
4,799,,0.765625,,629.25048828125,,0.6110875606536865,,0.5589454770088196,,
4,849,,0.71875,,424.93084716796875,,0.5972750782966614,,0.5620636940002441,,
4,899,,0.671875,,643.73828125,,0.6475306749343872,,0.5941880941390991,,
4,944,,,,,,,,,0.6883217096328735,0.5929319858551025
4,944,0.6644017100334167,,587.8700561523438,,0.6595088243484497,,0.6107955574989319,,,
