epoch,step,train_acc_epoch,train_acc_step,train_kl_epoch,train_kl_step,train_loss_epoch,train_loss_step,train_nll_epoch,train_nll_step,val_acc,val_loss
0,49,,0.65625,,463.5297546386719,,0.6944743990898132,,0.6605385541915894,,
0,99,,0.40625,,687.5968017578125,,0.7776033878326416,,0.7272632122039795,,
0,149,,0.734375,,636.659912109375,,0.5963104963302612,,0.5496994853019714,,
0,199,,0.609375,,741.4113159179688,,0.6833314895629883,,0.6290514469146729,,
0,213,,,,,,,,,0.509736955165863,0.6930252313613892
0,213,0.5686360597610474,,565.9420166015625,,0.7326449155807495,,0.691210925579071,,,
1,249,,0.59375,,593.137939453125,,0.7577518224716187,,0.7143270969390869,,
1,299,,0.546875,,606.307861328125,,0.7975699305534363,,0.7531810402870178,,
1,349,,0.515625,,523.9652099609375,,0.7288193106651306,,0.6904588937759399,,
1,399,,0.6875,,597.8345336914062,,0.6830506324768066,,0.6392821073532104,,
1,427,,,,,,,,,0.509736955165863,0.6929771900177002
1,427,0.5880371928215027,,564.774169921875,,0.721198320388794,,0.6798504590988159,,,
2,449,,0.640625,,481.0744934082031,,0.6979207396507263,,0.6627004146575928,,
2,499,,0.53125,,517.8123168945312,,6.883062362670898,,6.845152378082275,,
2,549,,0.5625,,544.0349731445312,,0.7299632430076599,,0.6901334524154663,,
2,599,,0.6875,,646.819091796875,,0.725659966468811,,0.6783052086830139,,
2,641,,,,,,,,,0.509736955165863,0.6930198073387146
2,641,0.5615345239639282,,562.7327880859375,,0.9461358189582825,,0.9049373269081116,,,
3,649,,0.4375,,531.2036743164062,,0.7379902005195618,,0.6990998387336731,,
3,699,,0.625,,646.0139770507812,,0.6735858917236328,,0.6262900233268738,,
3,749,,0.625,,569.7030639648438,,0.6819276213645935,,0.6402186155319214,,
3,799,,0.625,,538.081787109375,,0.7893544435501099,,0.7499604821205139,,
3,849,,0.609375,,483.593017578125,,0.6695147752761841,,0.6341100335121155,,
3,855,,,,,,,,,0.509736955165863,0.6929876804351807
3,855,0.5708324313163757,,568.3905029296875,,0.8876472115516663,,0.8460342884063721,,,
4,899,,0.5625,,428.62127685546875,,0.6713940501213074,,0.6400139331817627,,
4,949,,0.46875,,527.87060546875,,0.7359750866889954,,0.6973287463188171,,
4,999,,0.546875,,516.8958740234375,,0.7185513973236084,,0.6807085275650024,,
4,1049,,0.65625,,634.44189453125,,0.692341685295105,,0.6458930373191833,,
4,1069,,,,,,,,,0.509736955165863,0.6930055618286133
4,1069,0.5753715634346008,,557.8827514648438,,0.8586181402206421,,0.8177744746208191,,,
5,1099,,0.578125,,451.84814453125,,0.7084838151931763,,0.6754031777381897,,
5,1149,,0.625,,649.2762451171875,,0.6812000870704651,,0.6336653828620911,,
5,1199,,0.515625,,493.91729736328125,,0.7414618134498596,,0.7053012251853943,,
5,1249,,0.640625,,584.1715698242188,,0.6625040769577026,,0.619735836982727,,
5,1283,,,,,,,,,0.509736955165863,0.6931278109550476
5,1283,0.5820338129997253,,561.3002319335938,,0.7423776984214783,,0.7012840509414673,,,
