epoch,train_nll,train_kl,train_loss,train_acc,lr
0,0.5543522238731384,480.8285217285156,1.0271432399749756,0.65625,0.001
0,0.54008948802948,510.0264892578125,1.0415904521942139,0.734375,0.001
0,0.6762754917144775,536.9616088867188,1.204261302947998,0.5625,0.001
0,0.5403932332992554,471.5793151855469,1.0040897130966187,0.671875,0.001
0,0.5593037605285645,464.3010559082031,1.0158436298370361,0.734375,0.001
0,0.6347984671592712,500.519287109375,1.1269512176513672,0.65625,0.001
0,0.6189534664154053,600.2088623046875,1.2091293334960938,0.625,0.001
0,0.6389719843864441,622.5123901367188,1.2510786056518555,0.640625,0.001
0,0.59093177318573,646.1270751953125,1.2262582778930664,0.71875,0.001
0,0.6260880827903748,523.096435546875,1.1404404640197754,0.640625,0.001
0,0.5707692503929138,394.71099853515625,0.9588823318481445,0.6875,0.001
0,0.5440226793289185,508.5505065917969,1.0440723896026611,0.734375,0.001
0,0.640333354473114,408.6159973144531,1.042119026184082,0.6875,0.001
0,0.8006917238235474,647.05322265625,1.4369289875030518,0.5625,0.001
0,0.5376502275466919,676.0887451171875,1.2024376392364502,0.796875,0.001
0,0.55263751745224,457.4510192871094,1.0024418830871582,0.719298243522644,0.001
1,0.5597542524337769,494.3685607910156,1.0458590984344482,0.703125,0.001
1,0.9659539461135864,600.0479736328125,1.555971622467041,0.390625,0.001
1,0.7116290330886841,414.1131896972656,1.1188199520111084,0.671875,0.001
1,0.5615594387054443,519.5717163085938,1.0724461078643799,0.6875,0.001
1,0.5967416167259216,610.444580078125,1.1969821453094482,0.65625,0.001
1,0.5773618817329407,572.0742797851562,1.1398735046386719,0.640625,0.001
1,0.5966665148735046,538.5570678710938,1.1262211799621582,0.625,0.001
1,0.6180176734924316,545.072509765625,1.1539788246154785,0.609375,0.001
1,0.581781268119812,517.869873046875,1.0909945964813232,0.6875,0.001
1,0.612575113773346,606.4266357421875,1.2088649272918701,0.640625,0.001
1,0.6382856369018555,460.1362609863281,1.0907303094863892,0.609375,0.001
1,0.5814315676689148,477.4997253417969,1.0509495735168457,0.6875,0.001
1,0.6186657547950745,582.0562133789062,1.1909923553466797,0.703125,0.001
