epoch,step,train_acc_epoch,train_acc_step,train_kl_epoch,train_kl_step,train_loss_epoch,train_loss_step,train_nll_epoch,train_nll_step,val_acc,val_loss
0,49,,0.71875,,509.76422119140625,,0.5807448029518127,,0.5395584106445312,,
0,99,,0.578125,,544.0745849609375,,0.7505747675895691,,0.706616222858429,,
0,149,,0.734375,,467.0291748046875,,0.5390649437904358,,0.5013313293457031,,
0,193,,,,,,,,,0.6832579374313354,0.5980204343795776
0,193,0.6692251563072205,,572.6177978515625,,0.6588903069496155,,0.6126257181167603,,,
1,199,,0.640625,,632.5460205078125,,0.6346010565757751,,0.5834944844245911,,
1,249,,0.640625,,493.3292236328125,,0.658789336681366,,0.6189308166503906,,
1,299,,0.59375,,667.3582763671875,,0.7584666013717651,,0.7045473456382751,,
1,349,,0.71875,,535.5775756835938,,0.6126213073730469,,0.5693492889404297,,
1,387,,,,,,,,,0.6866515874862671,0.5912864804267883
1,387,0.6724569797515869,,587.6051635742188,,0.6553480625152588,,0.6078722476959229,,,
2,399,,0.5625,,688.3226318359375,,0.7276677489280701,,0.6720547080039978,,
2,449,,0.640625,,619.0293579101562,,0.693412721157074,,0.6433982253074646,,
2,499,,0.734375,,604.9061279296875,,0.6323907375335693,,0.58351731300354,,
2,549,,0.578125,,397.946044921875,,0.6609535217285156,,0.6288014650344849,,
2,581,,,,,,,,,0.6847662329673767,0.5944550633430481
2,581,0.6721338033676147,,581.9801635742188,,0.6545750498771667,,0.6075538396835327,,,
3,599,,0.734375,,503.40911865234375,,0.5576110482215881,,0.5169380903244019,,
3,649,,0.71875,,463.36065673828125,,0.6445353031158447,,0.6070980429649353,,
3,699,,0.703125,,734.736572265625,,0.6195469498634338,,0.5601838827133179,,
3,749,,0.625,,628.2870483398438,,0.7018885016441345,,0.6511260271072388,,
3,775,,,,,,,,,0.686274528503418,0.5916532874107361
3,775,0.6742344498634338,,579.7132568359375,,0.6545092463493347,,0.607671320438385,,,
4,799,,0.8125,,636.8152465820312,,0.5810225605964661,,0.5295710563659668,,
4,849,,0.671875,,406.9340515136719,,0.6941753029823303,,0.661297082901001,,
4,899,,0.703125,,580.8613891601562,,0.6488025784492493,,0.6018718481063843,,
4,949,,0.65625,,589.2852783203125,,0.6536440849304199,,0.6060327887535095,,
4,969,,,,,,,,,0.6870286464691162,0.5926917791366577
4,969,0.6735073328018188,,581.564697265625,,0.6570741534233093,,0.6100866794586182,,,
