epoch,step,train_acc_epoch,train_acc_step,train_kl_epoch,train_kl_step,train_loss_epoch,train_loss_step,train_nll_epoch,train_nll_step,val_acc,val_loss
0,49,,0.640625,,714.241943359375,,0.6568326354026794,,0.6047171950340271,,
0,99,,0.78125,,581.33056640625,,0.5180662870407104,,0.4756488800048828,,
0,149,,0.765625,,594.5966186523438,,0.54878169298172,,0.50539630651474,,
0,199,,0.703125,,564.2801513671875,,0.6547577977180481,,0.6135845184326172,,
0,214,,,,,,,,,0.7102485299110413,0.5705599784851074
0,214,0.6938343644142151,,613.2667846679688,,0.625645101070404,,0.5808972120285034,,,
1,249,,0.671875,,659.7142333984375,,0.6825087070465088,,0.6343719363212585,,
1,299,,0.65625,,489.18951416015625,,0.625604510307312,,0.5899102687835693,,
1,349,,0.8125,,604.6468505859375,,0.4857712984085083,,0.4416525959968567,,
1,399,,0.65625,,596.43798828125,,0.6163876056671143,,0.5728678703308105,,
1,429,,,,,,,,,0.7078651785850525,0.5707474946975708
1,429,0.6944180727005005,,614.5374755859375,,0.6285421848297119,,0.583702027797699,,,
2,449,,0.59375,,530.070068359375,,0.7124130725860596,,0.6737359166145325,,
2,499,,0.65625,,643.1660766601562,,0.6802847981452942,,0.6333554983139038,,
2,549,,0.75,,561.0817260742188,,0.5956878662109375,,0.5547479391098022,,
2,599,,0.8125,,594.3473510742188,,0.4955967664718628,,0.4522295892238617,,
2,644,,,,,,,,,0.7082056403160095,0.5693852305412292
2,644,0.690040111541748,,601.6792602539062,,0.6276749968528748,,0.5837728381156921,,,
3,649,,0.71875,,590.852294921875,,0.5882461071014404,,0.5451339483261108,,
3,699,,0.765625,,689.9779052734375,,0.6189515590667725,,0.5686065554618835,,
3,749,,0.640625,,554.9221801757812,,0.6200541853904724,,0.5795636773109436,,
3,799,,0.65625,,600.1611328125,,0.6234447360038757,,0.5796533226966858,,
3,849,,0.703125,,594.0430908203125,,0.5997492074966431,,0.5564042329788208,,
3,859,,,,,,,,,0.7061627507209778,0.571082353591919
3,859,0.6891645193099976,,611.482666015625,,0.628743052482605,,0.584125280380249,,,
4,899,,0.78125,,634.7388916015625,,0.5812759399414062,,0.5349615216255188,,
4,949,,0.65625,,507.241943359375,,0.6240890026092529,,0.5870775580406189,,
4,999,,0.703125,,649.335205078125,,0.6253397464752197,,0.5779603123664856,,
4,1049,,0.78125,,707.76025390625,,0.5193374752998352,,0.4676949977874756,,
4,1074,,,,,,,,,0.7102485299110413,0.570880651473999
4,1074,0.6869755387306213,,615.3123168945312,,0.6320372819900513,,0.5871405005455017,,,
5,1099,,0.71875,,525.5032348632812,,0.5399637222290039,,0.501619815826416,,
5,1149,,0.71875,,563.17578125,,0.6257386207580566,,0.5846458673477173,,
5,1199,,0.703125,,799.3976440429688,,0.6108015179634094,,0.5524725914001465,,
5,1249,,0.71875,,533.2050170898438,,0.5577887892723083,,0.5188829302787781,,
5,1289,,,,,,,,,0.7068437337875366,0.5715392827987671
5,1289,0.690040111541748,,619.5255126953125,,0.6314377784729004,,0.5862333178520203,,,
6,1299,,0.65625,,689.465576171875,,0.6500746607780457,,0.5997670888900757,,
6,1349,,0.71875,,571.0925903320312,,0.6184958219528198,,0.5768254399299622,,
6,1399,,0.71875,,697.1683349609375,,0.5810115933418274,,0.5301419496536255,,
6,1449,,0.703125,,637.132568359375,,0.6693962216377258,,0.6229071617126465,,
6,1499,,0.703125,,516.7610473632812,,0.6073594689369202,,0.5696534514427185,,
6,1504,,,,,,,,,0.705481767654419,0.5697582364082336
6,1504,0.688434898853302,,618.7403564453125,,0.6324286460876465,,0.5872816443443298,,,
7,1549,,0.71875,,520.6912231445312,,0.6114294528961182,,0.5734366774559021,,
7,1599,,0.734375,,762.8132934570312,,0.630046546459198,,0.5743870735168457,,
7,1649,,0.71875,,717.0371704101562,,0.602120041847229,,0.5498006343841553,,
7,1699,,0.75,,670.6424560546875,,0.5425973534584045,,0.4936631917953491,,
7,1719,,,,,,,,,0.7187606692314148,0.5738884210586548
7,1719,0.6953666806221008,,611.9852905273438,,0.6272852420806885,,0.5826307535171509,,,
8,1749,,0.625,,613.6354370117188,,0.70914226770401,,0.66436767578125,,
8,1799,,0.703125,,660.2769775390625,,0.6151944398880005,,0.5670166015625,,
8,1849,,0.6875,,630.0239868164062,,0.6596155762672424,,0.6136451959609985,,
8,1899,,0.734375,,635.0076293945312,,0.6553549766540527,,0.6090209484100342,,
8,1934,,,,,,,,,0.7020769715309143,0.5722382068634033
8,1934,0.6907697916030884,,612.4603881835938,,0.6301311254501343,,0.5854423642158508,,,
9,1949,,0.734375,,712.1321411132812,,0.6871311068534851,,0.6351696252822876,,
9,1999,,0.578125,,485.27166748046875,,0.6926428079605103,,0.6572344303131104,,
9,2049,,0.734375,,839.5292358398438,,0.5875697135925293,,0.5263125896453857,,
9,2099,,0.65625,,716.6200561523438,,0.6813681721687317,,0.6290792226791382,,
9,2149,,0.6666666865348816,,558.1206665039062,,0.5995277762413025,,0.558803915977478,,
9,2149,,,,,,,,,0.7160367965698242,0.5735417008399963
9,2149,0.6952207088470459,,626.4515991210938,,0.627021074295044,,0.5813114047050476,,,
10,2199,,0.78125,,612.0028076171875,,0.5581443309783936,,0.5134888887405396,,
10,2249,,0.8125,,641.5108032226562,,0.5084572434425354,,0.46164870262145996,,
10,2299,,0.6875,,787.994384765625,,0.5682079195976257,,0.5107110738754272,,
10,2349,,0.6875,,735.0922241210938,,0.6784510016441345,,0.6248142123222351,,
10,2364,,,,,,,,,0.7170582413673401,0.572600781917572
10,2364,0.6945640444755554,,603.09765625,,0.624125063419342,,0.580119252204895,,,
11,2399,,0.71875,,706.020751953125,,0.5699066519737244,,0.5183910727500916,,
11,2449,,0.6875,,542.3211669921875,,0.633527398109436,,0.5939563512802124,,
11,2499,,0.828125,,621.1248779296875,,0.4812532663345337,,0.4359322190284729,,
11,2549,,0.6875,,708.6779174804688,,0.6181129217147827,,0.5664035081863403,,
11,2579,,,,,,,,,0.7034388780593872,0.5725577473640442
11,2579,0.6890915632247925,,615.9577026367188,,0.6297403573989868,,0.5847963094711304,,,
12,2599,,0.59375,,444.45562744140625,,0.7130132913589478,,0.680583119392395,,
12,2649,,0.71875,,548.4087524414062,,0.6668443083763123,,0.6268290877342224,,
