epoch,step,train_acc_epoch,train_acc_step,train_kl_epoch,train_kl_step,train_loss_epoch,train_loss_step,train_nll_epoch,train_nll_step,val_acc,val_loss
0,49,,0.59375,,983.5308227539062,,0.8029417991638184,,0.6800158023834229,,
0,99,,0.71875,,1204.946044921875,,0.711211085319519,,0.5606116652488708,,
0,125,,,,,,,,,0.6874635815620422,0.5936522483825684
0,125,0.6879140138626099,,1090.012451171875,,0.730845034122467,,0.5946103930473328,,,
1,149,,0.625,,1079.02294921875,,0.7202887535095215,,0.5854277610778809,,
1,199,,0.65625,,1148.037841796875,,0.7793070077896118,,0.635820209980011,,
1,249,,0.578125,,1049.466796875,,0.7269330024719238,,0.5957660675048828,,
1,251,,,,,,,,,0.6909620761871338,0.5922582745552063
1,251,0.6827896237373352,,1086.271484375,,0.734011709690094,,0.5982445478439331,,,
2,299,,0.71875,,1047.531005859375,,0.7104427218437195,,0.5795177221298218,,
2,349,,0.59375,,998.3820190429688,,0.7736983895301819,,0.6489162445068359,,
2,377,,,,,,,,,0.6781340837478638,0.5936421155929565
2,377,0.6837895512580872,,1076.7396240234375,,0.7356011271476746,,0.6010255217552185,,,
3,399,,0.796875,,1047.971923828125,,0.5761297941207886,,0.44514966011047363,,
3,449,,0.609375,,1023.3211669921875,,0.7260306477546692,,0.5981314778327942,,
3,499,,0.6875,,1107.3028564453125,,0.7524855732917786,,0.6140900254249573,,
3,503,,,,,,,,,0.6921283006668091,0.5912350416183472
3,503,0.6784151792526245,,1079.7786865234375,,0.737430989742279,,0.6024755835533142,,,
4,549,,0.546875,,1153.857666015625,,0.8399298191070557,,0.6957156658172607,,
4,599,,0.625,,1067.7012939453125,,0.7872273921966553,,0.6537814140319824,,
4,629,,,,,,,,,0.6897959113121033,0.5928221344947815
4,629,0.6860392689704895,,1078.743408203125,,0.729047417640686,,0.5942212343215942,,,
5,649,,0.703125,,1093.233642578125,,0.7306313514709473,,0.5939942002296448,,
5,699,,0.78125,,1196.3817138671875,,0.6878342032432556,,0.5383051633834839,,
5,749,,0.78125,,1030.85693359375,,0.6396192312240601,,0.5107781887054443,,
5,755,,,,,,,,,0.6851311922073364,0.5921593308448792
5,755,0.6877890229225159,,1089.7760009765625,,0.7310124635696411,,0.5948074460029602,,,
6,799,,0.59375,,1026.8829345703125,,0.8113223314285278,,0.6829779744148254,,
6,849,,0.75,,1072.8359375,,0.6288061738014221,,0.49471843242645264,,
6,881,,,,,,,,,0.6886297464370728,0.5923932194709778
6,881,0.6846644282341003,,1074.4669189453125,,0.7293291687965393,,0.595037579536438,,,
7,899,,0.6875,,1078.51953125,,0.8427369594573975,,0.7079388499259949,,
7,949,,0.71875,,1165.59130859375,,0.7259266972541809,,0.5802459716796875,,
